Henry Walker,97
Lillian Cassel,94
Susan Rodger,94
Mark Guzdial,92
David Ginat,85
Judy Sheard,80
Beth Simon,80
John Impagliazzo,79
Raymond Lister,78
Owen Astrachan,74
Daniel Garcia,74
Eric Roberts,71
Renée McCauley,69
Mordechai Ben-Ari,66
Tony Clear,65
Nell Dale,63
Orit Hazzan,63
Amruth Kumar,63
Robert McCartney,63
Stephen Cooper,59
Stephen Edwards,59
Ursula Wolz,59
Guido Rößling,58
Michael Goldweber,56
Thomas Naps,56
Vicki Almstrum,55
Tiffany Barnes,55
Jesús Velázquez-Iturbide,54
Joel Adams,52
Doug Baldwin,51
Judith Gal-Ezer,51
Peter Henderson,51
Michael Kölling,51
Nick Parlante,50
Kate Sanders,50
Elizabeth Hawthorne,49
Viera Proulx,49
Robert Aiken,47
Joseph Bergin,46
John Gorgone,45
Barry Kurtz,45
Harriet Taylor,45
Joyce Little,44
Lynda Thomas,44
Manuel Pérez-Quiñones,42
Kim Bruce,41
Bruria Haberman,41
Michael Clancy,40
Karl Klee,40
Deborah Knox,40
Jeffrey Popyack,40
Carol Zander,40
Gordon Davies,39
Sally Fincher,39
Richard Rasala,39
Ching Shene,39
Simon Simon,39
Sue Fitzgerald,37
Clifford Shaffer,37
Andrew McGettrick,36
Stuart Reges,36
Steve Cunningham,35
Gerald Engel,35
Andrew Luxton-Reilly,35
Lauri Malmi,35
Michael Wick,35
Michael Caspersen,34
James Cross,34
John Hamer,34
David Reed,34
Rocky Ross,34
Elliot Koffman,33
Daniel Zingaro,33
Lecia Barker,32
David Kay,32
Leo Porter,32
Robert Campbell,31
Mats Daniels,31
Anna Eckerdal,31
Brian Hanks,31
Pamela Lawhead,31
Alison Young,31
Michal Armoni,30
Angela Carbone,30
Paul Denny,30
Scott Grissom,30
Janet Hartman,30
Lisa Kaczmarczyk,30
Doris Lidtke,30
Barbara Owens,30
Jane Prey,30
Leenkiat Soh,30
Daniel Stevenson,30
Allen Tucker,30
Michelle Craig,29
Barbara Ericson,29
Cary Laxer,29
Myles McNally,29
Briana Morrison,29
Samuel Rebelsky,29
Ian Sanders,29
Chris Stephenson,29
Gregory Hislop,28
Deepak Kumar,28
John Lee,28
Carol Martin,28
Ralph Morelli,28
Marian Petre,28
Elizabeth Adams,27
John Beidler,27
Roger Boyle,27
Michael Feldman,27
Don Gotterbarn,27
Stephen Hartley,27
Ari Korhonen,27
Josh Tenenberg,27
Brian Dorn,26
Mary Granger,26
Thomas Hilburn,26
Jan Moström,26
Laurie Murphy,26
Heikki Topi,26
Gloria Townsend,26
Judith Wilson,26
Joseph Zachary,26
Ela Zur,26
Wanda Dann,25
Judith Gersting,25
Peter Hubwieser,25
Arnold Pears,25
Paul Wagner,25
John Barr,24
Katrina Falkner,24
Jeff Gray,24
Christopher Hundhausen,24
Stan Kurkovsky,24
Christopher Nevison,24
Richard Pattis,24
Dean Sanders,24
Russell Shackelford,24
Erkki Sutinen,24
Pete Thomas,24
Richard Austing,23
Tim Bell,23
Richard Brown,23
Donald Chinn,23
Don Goelman,23
Sami Khuri,23
James Paterson,23
Brad Richards,23
Steven Robbins,23
Jaime Urquiza-Fuentes,23
Frank Young,23
Donald Bagert,22
Anders Berglund,22
Jonas Boustedt,22
Quintin Cutts,22
Herbert Dershem,22
Suzanne Dietrich,22
Zachary Dodds,22
Heidi Ellis,22
Alan Fekete,22
Edward Gehringer,22
Tony Greening,22
Clif Kussmaul,22
Tami Lapidot,22
Mary Last,22
David Levine,22
Bill Manaris,22
Chris McDonald,22
Elizabeth Patitsas,22
Mark Ratcliffe,22
Alexander Repenning,22
Paul Tymann,22
Ian Utting,22
Bruce Weide,22
Steven Wolfman,22
Ruth Anderson,21
Torsten Brinda,21
Janet Carter,21
Albert Chamillard,21
John English,21
Edward Fox,21
Dianne Hagan,21
Richard LeBlanc,21
Jens Mache,21
Bill Marion,21
Elizabeth Shoop,21
Robert Sloan,21
Blair Taylor,21
Tammy VanDeGrift,21
Judith Bishop,20
Kristy Boyer,20
Peter Denning,20
Nira Herrmann,20
Helen Hu,20
Donald Joyce,20
Ville Karavirta,20
Gary Lewandowski,20
Carsten Schulte,20
Charles Shub,20
Jaime Spacco,20
Thomas Way,20
